title,media
"Bernie Sanders Scares a Lot of People, and Quite a Few of Them Are Democrats","In 34 national surveys conducted from October 2018 to early April, Joe Biden, who is expected to announce his presidential bid on Thursday, led all competitors."
Sanders quiets his critics as he becomes a 2020 front-runner,"DAVENPORT, Iowa (AP) — Vermont Sen. Bernie Sanders is quieting critics who questioned whether he could recapture the energy of his upstart 2016 ..."
"For Bernie Sanders, 2016 gets in the way of 2020","Early last year, Bernie Sanders huddled with his closest advisers to talk about the future. If he ran for president again, one told him, he'd probably perform well ..."
"Bernie Sanders and his wife earned $1.7 million in past two years, returns show","Sen. Bernie Sanders, who has made income inequality a hallmark of his presidential campaign, earned with his wife about $566,000 last year and $1.15 million ..."
Bernie Sanders' truly awful answer on his newfound millionaire status,Bernie Sanders is (finally) going to release his tax returns. But questions over how he handles his wealth in the context of his campaign for the 2020 Democratic ...
Bernie Sanders pushes back at critics of his new wealth: 'I didn't know it was a crime to write a good book',"Gary, Indiana (CNN) Sen. Bernie Sanders on Saturday rejected suggestions that his growing nest egg, mostly amassed from book sales following his 2016 ..."
Is Bernie Sanders serious?,"It's the first big misstep of the 2020 Democratic primary season. A candidate with an obvious liability hands opponents a powerful, easy-to-grasp issue that ..."
Bernie Sanders will be tested in 2020 as he never was in 2016,"Democratic hopeful Pete Buttigieg signaled the start of a new political era for Sen. Bernie Sanders, one of the front-runners for the party's 2020 presidential ..."
"Bernie Sanders Raised $18 Million in 6 Weeks, His 2020 Campaign Says","WASHINGTON — Senator Bernie Sanders of Vermont raised $18.2 million over the first six weeks of his presidential bid, his campaign announced Tuesday, ..."
Bernie Sanders campaign stop draws hundreds in Warren,"U.S. Senator and Democratic presidential hopeful Bernie Sanders says he won't make the same mistake as the Clinton campaign did in 2016, and assume the."
The machine behind Bernie Sanders’ movement,"A television camera films Vermont U.S. Sen. Bernie Sanders' presidential campaign rally in Keene, N.H. Photo by Kevin O'Connor/VTDigger. KEENE, N.H. ..."
"Bernie Sanders still hasn't released his tax returns, despite pledge","Sen. Bernie Sanders, a leading 2020 Democratic presidential candidate, has yet to release his tax returns despite a pledge to do so."
Bernie Sanders Imagines a Progressive New Approach to Foreign Policy,"In the early summer of 2017, a little less than a year after his Presidential campaign had ended, Bernie Sanders spent a few days on a speaking tour in England, ..."
Takeaways from Bernie Sanders' CNN town hall,"He's a millionaire now, but Vermont Sen. Bernie Sanders showed Monday night what his supporters have liked about him since the 2016 presidential race -- and ..."
Bernie Sanders and the Science of Smears,"The satirist Ambrose Bierce, author of the Devil's Dictionary, once defined radicalism as “the conservatism of tomorrow injected into the affairs of today.”."
Bernie Sanders draws sharp contrasts between himself and Joe Biden,"Sen. Bernie Sanders compared his record with Joe Biden's on trade and foreign policy on Monday, attempting to draw sharp contrasts between himself and the ..."
Bernie Sanders just gave the best political answer on impeachment,"Bernie Sanders didn't build his political career on pragmatism. But on Monday night at a CNN-sponsored town hall, he showed that his presidential candidacy ..."
Bernie Sanders Could Win This Time,"Despite any suggestions to the contrary, Sen. Bernie Sanders's televised Fox News town hall on Monday did not come out of Bizarro World. In fact, it was ..."
Here’s what Bernie Sanders has done better than any of his Democratic presidential rivals,"The Bernie Sanders campaign says the Democratic presidential candidate raised $18 million in this year's first quarter from about 900000 donations, putting..."
