title,media
Opinion | Elizabeth Warren Is Ready for a Fight,"Elizabeth Warren, in her interview with the Times editorial board [Related: What Is an Editorial Board?] on Dec. 4, largely stuck to her polished script — which the ..."
Elizabeth Warren's GOP Past Could Help Her in 2020,The progressive senator doesn't talk about her Republican past. Should she?
Warren Offers Infectious-Disease Plan Amid Coronavirus Outbreak,"Democratic presidential candidate Elizabeth Warren has announced a plan to prevent, contain and treat infectious diseases as a new viral illness spreads in ..."
Elizabeth Warren Confronts the Skeptics Who Fear Her Plans Go Too Far,"In the early fall, Ms. Warren seemed to be the Democratic candidate to beat in Iowa. But many voters have had second thoughts over how her sweeping agenda ..."
Elizabeth Warren 'felt like a failure' because she wasn't 'cut out' to be a stay-at-home mom,"""As a young woman I wanted what I'd been taught to want, and I tried really hard to succeed at that,"" Sen. Elizabeth Warren told Vogue. ""I just wasn't cut out to ..."
Elizabeth Warren campaign lays out strategy for primaries and beyond,Elizabeth Warren campaign manager Roger Lau sent out a memor detailing the campaign's strategy for the 2020 election going forward.
Warren Says Sanders Told Her a Woman Could Not Win the Presidency,Senator Elizabeth Warren of Massachusetts said on Monday night that Senator Bernie Sanders of Vermont told her in 2018 he did not think a woman could win ...
What an Elizabeth Warren Presidency Would Look Like,"This is one of two cover stories of our dual-sided January issue. For a complementary perspective, read the alternate cover feature, ”What a Bernie Sanders ..."
Why People Keep Asking Elizabeth Warren Whether She Can Win,"At a campaign event in southeastern Iowa in December, a graduate student named Charlotte Moser was waiting to ask Sen. Elizabeth Warren a question."
Elizabeth Warren Raised $21.2 Million in 4th Quarter Fund-Raising,"Senator Elizabeth Warren of Massachusetts raised more than $21.2 million for her presidential campaign in the fourth quarter of 2019, her team announced on ..."
The Republican Case for Elizabeth Warren,She has independence and integrity and is no socialist. She just wants the market to work for everyone.
Elizabeth Warren Isn’t Talking Much About ‘Medicare for All’ Anymore,"There are signs her campaign is seeking to calm fears about her health care proposal, including having small meetings with rural Iowa voters to explain her ..."
Elizabeth Warren’s Final Pitch in Iowa,"Elizabeth Warren has now spent fifty-six days in Iowa, where her campaign has held more than a hundred events and spent around five million dollars on ..."
Why Elizabeth Warren's question on John Roberts may have backfired,"Washington (CNN) In announcing that she would vote against the Senate calling witnesses, Sen. Lisa Murkowski suggested that her decision was made in part ..."
President Elizabeth Warren: Here’s what it would mean for California,Sen. Elizabeth Warren is proposing dozens of policy plans in her presidential campaign that revolve around a premise: The rich and powerful have rigged a ...
"Can Elizabeth Warren’s Selfie-Taking, Plan-For-That Campaign Win Her the Nomination?","From single-digit polling to top-tier status, Senator Elizabeth Warren has defied the odds with her presidential campaign. Can she go all the way?"
Elizabeth Warren releases plan to prevent and contain infectious diseases amid coronavirus outbreak,Democratic presidential contender Elizabeth Warren's plan came as authorities across the globe race to address the new coronavirus.
Elizabeth Warren names new Texas endorsements,"The senator's backers now include three state representatives, several Texas city council members and local political organizers."
How Elizabeth Warren Is Being Squeezed by 2 Democratic Factions,"Ms. Warren is figuring out what candidates like Beto O'Rourke, Kamala Harris and Kirsten Gillibrand have already learned: It's hard to appeal to both the center ..."
‘You're a Fraud!': Tense Moment at Elizabeth Warren Event as Protester Screams at Candidate,A routine New Hampshire campaign stop turned tense for Elizabeth Warren on Friday when a protester stood up in the middle of her town hall event and began.
Endorsement: Elizabeth Warren will push an unequal America in the right direction,America's middle class is hurting. She brings the passion and expertise needed at this moment.
Elizabeth Warren’s new video introduces three fresh faces: Her brothers.,"Sen. Elizabeth Warren often mentions her three older brothers on the campaign trail. “One is a Democrat,” she'll say. “Do the math.” However, despite their ..."
Elizabeth Warren proposes criminal penalties for spreading voting disinformation online,Democratic presidential candidate Elizabeth Warren on Wednesday released a plan to fight disinformation to hold tech companies accountable for their actions ...
Elizabeth Warren goes all in on electability in the final sprint to Iowa,"Muscatine, Iowa (CNN) Elizabeth Warren ended her town hall at a middle school gymnasium in Muscatine, Iowa, Saturday evening with a new closing message: ..."
The Atlantic Politics Daily: Elizabeth Warren Doesn’t Talk About Her Republican Past,"Should she? Plus: What the other, other Rhodes-Scholar Mayor thinks now of his decision not to get into the 2020 presidential race."
Elizabeth Warren’s Bankruptcy Plan Revives Old Clash With Biden,"Senator Elizabeth Warren on Tuesday announced a plan to roll back provisions in a 2005 bankruptcy law, reviving a debate she had 15 years ago with Joseph ..."
Column: Why Elizabeth Warren is not so electable,Elizabeth Warren would likely follow the losing tradition of other Massachusetts candidates.
Elizabeth Warren’s Base Is Getting Anxious,"Some of Sen. Elizabeth Warren's supporters are starting to worry about her ability to appeal to a broad range of voters outside of liberal hubs, with less than a ..."
Elizabeth Warren Opens a New Front in Disability Policy,"As they craft their disability rights plans, the 2020 candidates are consulting the people they would affect. “This is how policy should be made,” one advocate ..."
Elizabeth Warren’s Iowa Pivot: From Her Plans to Her Plan to Win,"In the final days before the caucuses, Ms. Warren is taking on the electability question in ads, on the stump and on her campaign bus, urging voters to embrace ..."
Why hasn’t the left canceled Elizabeth Warren yet? | Opinion,Sen. Elizabeth Warren made news again this week with a pattern that has become something of a trademark: an unverifiable story carefully calibrated to portray ...
It Matters That Elizabeth Warren Is a Woman. Why Do So Many on the Left Insist That It Doesn't?,It matters that Elizabeth Warren is a woman running in the 2020 Democratic primary. Why are so many on the left pretending that it doesn't?
"Elizabeth Warren Wants You to Ditch That Guy, Get a Dog, and Vote to Tax the Wealthy","If you've read any news about 2020 Democratic presidential candidate and current United States senator Elizabeth Warren over the past year, you'd know one ..."
What happened to Elizabeth Warren?,"Three months ago this week, Senator Elizabeth Warren looked like the 2020 frontrunner so many Democrats dreamed she could be. After months of languishing ..."
"Senator Elizabeth Warren Campaigns in Cedar Rapids, Iowa","Jonathan Van Ness, star of the reality series ""Queer Eye,"" introduced 2020 presidential candidate Senator Elizabeth Warren (D-MA), at a town hall in Cedar ..."
Elizabeth Warren wants to create a Justice Department task force to investigate Trump administration corruption,Elizabeth Warren said she would create an independent DOJ task force to investigate corruption by government officials during the Trump administration.
Warren’s Attempt to Turn Her Greatest Weakness Into a Strength,"In recent months, the Democratic presidential candidate Senator Elizabeth Warren has come under fire because of the high cost of her proposed Medicare for All ..."
What Elizabeth Warren's statements on Qasem Soleimani really tell us,"On Thursday, when news of the killing of Iranian commander Qasem Soleimani broke, Massachusetts Sen. Elizabeth Warren took to Twitter to offer a response."
New Elizabeth Warren video highlights conservative supporters: Her brothers,"As Senator Elizabeth Warren makes a closing argument about her electability in the final days before the Iowa caucuses, she is turning again to a fixture of her ..."
Julián Castro Endorses Elizabeth Warren for President,"The move came soon after Mr. Castro ended his own bid for the Democratic presidential nomination, and gives a lift to Ms. Warren's campaign as it tries to ..."
