title,media
'A serious-minded kid:' Pete Buttigieg aimed high early,"SOUTH BEND, Ind. (AP) — It was a running joke in his AP U.S. history class at Saint Joseph High School: Would Peter Buttigieg — the smartest kid in class, ..."
"Pete Buttigieg - Husband, Policies & Age","Pete Buttigieg is a former two-term mayor of South Bend, Indiana. A graduate of Harvard University and an Oxford Rhodes Scholar, Buttigieg enlisted in the U.S. ..."
Why Pete Buttigieg Annoys His Democratic Rivals,"His success, especially in Iowa, has grated on rival campaigns that say his record in government is not commensurate with the attention he's receiving."
"O.K., Mayor: Why 37-Year-Old Pete Buttigieg Is Attracting Boomers","Calling himself the “retirement guy” and pitching a “Gray New Deal,” Mr. Buttigieg has crafted a message that resonates among older white Americans, helping ..."
"Pete Buttigieg surges to first place in Iowa, new poll shows","There is a new Democratic front-runner in Iowa, and his name is Pete Buttigieg."
Pete Buttigieg Is in Bad Shape With Black Democrats. Here’s Why.,"No Democrat in modern times has won the party's nomination without claiming majorities of black voters, the most crucial voting bloc in South Carolina and an ..."
The Next Phase of Pete Buttigieg's 2020 Campaign,"This year, the Millennial mayor became a household name. Now how does he translate that into votes?"
Pete Buttigieg releases tax returns from time at elite consulting firm,"Atlanta (CNN) South Bend, Indiana, Mayor Pete Buttigieg released two additional years of his tax returns on Wednesday, shedding light on the years the ..."
Pete Buttigieg 2020?,His path to the nomination appears more open than ever.
Pete Buttigieg says he understands the concern over past remarks on minorities and education,Democratic presidential candidate Pete Buttigieg said Tuesday that he understands the criticism he has received for comments he made in 2011 about the ...
Pete Buttigieg is struggling with black voters — and not just because he's gay,"ROCK HILL, S.C. — On a recent Sunday morning, Pete Buttigieg stood before rows of black churchgoers, a group he and the other Democratic 2020 candidates ..."
Pete Buttigieg Is an Iowa Front-Runner. Will That Help Him Anywhere Else?,"National polls have him firmly behind the leading candidates across the country, and questions remain over Mr. Buttigieg's ability to create a diverse coalition."
This Isn’t Just Another Buttigieg Bump,"Listening to the radio on her drive home from work back in January, 48-year-old Brooke Clagett caught the tail end of an interview with a man she couldn't ..."
Pete Buttigieg is having a moment,"This was originally published in the November 6 edition of CNN's Meanwhile in America, the daily email about US politics for global readers. Sign up here to ..."
Pete Buttigieg On Identity,"NPR's Scott Simon speaks to Mayor Pete Buttigieg, Democratic presidential candidate, about his identity as a young candidate, a gay man in a same-sex ..."
Pete Buttigieg's minority problem isn't just about name recognition,First things first: The theme song of the week is The Critic.
The many meanings of Pete Buttigieg,Washington (CNN) Ask LGBTQ voters what they think about 2020 Democratic presidential hopeful Pete Buttigieg and (surprise) you'll receive a mix of answers ...
Can Pete Buttigieg position himself as the sensible alternative?,"South Bend, Ind., Mayor Pete Buttigieg is fast threatening former Vice President Joe Biden's dominance of the Democratic primary's pragmatic lane."
Pete Buttigieg Says Donald Trump Is 'Least Qualified Of All' Candidates In 2020 Race,"The mayor of South Bend, Ind., sat down for NPR's Off Script interview series with presidential candidates. Buttigieg says ""being newer on the scene"" is a boost ..."
Presidential Candidate Pete Buttigieg Announces His Policy Agenda for People with Disabilities,"Pete Buttigieg unveiled his plan for Americans with disabilities, promising to increase access to jobs and education if elected President."
The Finance 202: Buttigieg breaks out — with Wall Street donors,"with Brent D. Griffiths. THE TICKER. Support our journalism. Subscribe today. South Bend, Indiana Mayor Pete Buttigieg. (Scott Olson/Getty Images). Wall Street ..."
Buttigieg takes the debate stage leading in Iowa but mired in controversy in South Carolina,"South Bend, Indiana, mayor Pete Buttigieg is navigating night-and-day campaigns in Iowa and South Carolina as he prepares for Wednesday's debate."
"On the campaign bus, Pete Buttigieg talks stress dreams, misconceptions, ‘just in case’ letter to parents","FRANKLIN, N.H. – Pete Buttigieg was talking about climate change to about a dozen reporters on his campaign bus Saturday when the presidential candidate ..."
"Pete Buttigieg, millennials’ bane",Pete Buttigieg wants to lead for a younger generation — much to that generation's chagrin. The *fresh*-faced first major millennial candidate and his ...
Inside The Buttigieg Moment,"It would be fair to say that Pete Buttigieg is experiencing something of a moment. Again. Earlier this year, he splashed down into America's consciousness as the ..."
"Buttigieg: South Bend saw policies, not my sexuality","During an interview with CNN's Dana Bash, Rep. Jim Clyburn (D-SC) suggested older African-American voters have an issue with Mayor Pete Buttigieg's ..."
The Woke Attack on Pete Buttigieg,A beautiful illustration of the difference between Twitter and the real world is the viral status of Michael Harriot's attack on Mayor Pete Buttigieg in The Root as a ...
Pete Buttigieg Says 'Being Newer On The Scene' Is Plus For Presidency,"NPR's Scott Simon speaks to Democratic presidential candidate and South Bend, Indiana, Mayor Pete Buttigieg, along with voters who have questions on ..."
"Candidates, Voters Raise Questions About Pete Buttigieg’s Experience",Democratic presidential candidate Pete Buttigieg's youth and outsider appeal is proving an asset with some primary voters. But others say they are hesitating at ...
"Even if they can’t vote, teens are roasting Pete Buttigieg on TikTok","Teens on TikTok are dragging presidential candidate Pete Buttigieg, calling him “Mayo Pete.” Their popular posts mocking Buttigieg and criticizing some of his ..."
"Pete Buttigieg, leading in mostly white Iowa, struggles in diverse California","LOS ANGELES — Pete Buttigieg has risen to the top of the Democratic presidential polls in Iowa, where 90% of the population is white. But he's lagging in ..."
The Generous Gospel of Mayor Pete,"Since the early stages of his presidential campaign, Mayor Pete Buttigieg has made his Christian faith a cornerstone, explicitly attacking the idea that “Christian” ..."
"Pete Buttigieg, one of few presidential candidates with military experience, is reaching out to Iowa veterans",Pete Buttigieg's experience as an intelligence officer in the U.S. Navy Reserve has steadily gained prominence in how he introduces himself to Iowans.
Pete Buttigieg: 2020 Democratic presidential candidate shares his views on current issues,"Editor's note: Pete Buttigieg dropped out of the race on March 1, 2020. We asked presidential candidates questions about a variety of issues facing the country."
Poll: Pete Buttigieg surges to first place in Iowa,CNN's Harry Enten discusses new poll numbers showing Democratic presidential nominee and Mayor Pete Buttigieg leads with Iowa voters.
Pete Buttigieg says he’s open to sending U.S. troops to Mexico,"South Bend, Indiana, Mayor Pete Buttigieg said at a Latino forum in Los Angeles on Sunday that he'd be willing to send U.S. troops into Mexico to combat gang ..."
Pete Buttigieg Explains Why He Lacks Black Voters' Support,"At a private fundraiser in California on Friday, Democratic presidential candidate Pete Buttigieg suggested that black voters in South Carolina preferred former ..."
Buttigieg scored by hitting Warren on spending. But how will he pay for his own plans?,Pete Buttigieg has criticized Democratic candidates for their spending and lack of transparency. But it's not clear how he'll pay for his proposals.
Presidential candidate Pete Buttigieg visits Providence,Presidential hopeful and Democratic candidate Pete Buttigieg is hoping to win over Rhode Island. He spent some time in the Ocean State Sunday evening.
The Problem With Pete Buttigieg's “Douglass Plan” for Black America,"I never actually endorsed the plan. They went ahead and used my name,” said one prominent South Carolinian who the campaign named as a top supporter."
Pete Buttigieg clarifies views on the Obama administration after criticism for a viral misquote,"Pete Buttigieg, the mayor of South Bend, Indiana, and 2020 presidential candidate, sought to clarify his views on the administration of former President Barack ..."
Can Pete Buttigieg's moderate message win over purple Iowa?,"The Indiana mayor has surged in polls as he crisscrosses the key caucus state, but some voters question his sincerity."
