title,media
Pete Buttigieg officially announces presidential campaign,"South Bend, Indiana (CNN) South Bend Mayor Pete Buttigieg officially launched his presidential campaign on Sunday, formally vaulting the Midwestern ..."
Mayor Pete Buttigieg is the hottest thing in politics. Can it last?,"Pete Buttigieg was home recently, back in the Indiana city where he was born and serves as mayor. He was at the library on Main Street, at a book signing for his ..."
Pete Buttigieg: What you need to know about the presidential hopeful,"Since announcing in January that he was launching a presidential exploratory committee, South Bend Mayor Pete Buttigieg gone from from a longshot with a ..."
2020 hopeful Pete Buttigieg says he and husband planning to have a child soon,"Democratic presidential hopeful Pete Buttigieg announced that he and his husband are planning to have a child soon. Buttigieg, the mayor of South Bend, ..."
"Who Is Pete Buttigeig, the Gay Millennial Mayor the Democrats Didn’t See Coming?","Inquiring minds want to know: Who is Pete Buttigeig? Before the lead-up to the 2020 Democratic primary began, it was widely anticipated that Texas senatorial ..."
"Before he was a candidate, Pete Buttigieg was voted 'most likely' to be president","Democratic presidential candidate Pete Buttigieg may have a leg up on his competition in 2020. In South Bend, Indiana, Buttigieg is nearly universally known ..."
Rivals are scrambling to dig up dirt on Pete Buttigieg,"SOUTH BEND, Ind. — Caught off guard by his sudden surge, Pete Buttigieg's rivals are scrambling to find vulnerabilities and lines of attack that can be used ..."
"Democratic 2020 contender Pete Buttigieg will return donations from lobbyists, campaign says","Democratic presidential contender Pete Buttigieg, the mayor of South Bend, Indiana, will return thousands of dollars donated to his campaign by registered ..."
Presidential candidate Pete Buttigieg says the monthly mortgage payment on his 'one house in Indiana' is $450,In his time on the campaign trail 37-year-old presidential candidate Pete Buttigieg has emphasized his Midwestern roots. One aspect of that Midwestern lifestyle ...
‘Pete! Pete! Pete!’ Buttigieg fever hits New Hampshire – can he keep up the pace?,"In Manchester and Concord the mayor of South Bend, Indiana, shone again as a persuasive centrist in a party moving left. Adam Gabbatt in Manchester, New ..."
How Pete Buttigieg Is Shaking Up the 2020 Race,Can a 37-year-old Indiana mayor capture the White House? Nathan Heller checks in with Pete Buttigieg's suddenly not-so-long-shot campaign.
"Pete Buttigieg on faith, his marriage and Mike Pence","In a Q&A with Father Edward Beck, the South Bend, Indiana, mayor discusses his views on the morality of military *service*, abortion, love, marriage and being ..."
Pete Buttigieg officially launches 2020 presidential campaign,"South Bend, Ind. Mayor Pete Buttigieg, a rising star in the large pool of Democratic presidential hopefuls, officially announced a 2020 presidential bid on Sunday ..."
Pete Buttigieg raises $1 million within four hours of 2020 campaign announcement,"Buttigieg also has used his campaign funds more sparingly than rivals, according to a recent filing from the Federal Election Commission."
"Pete Buttigieg's not-so-secret weapon is his husband, Chasten","There are now 17 hopefuls vying for the Democratic vote to become President of the United States, but there's only one whose spouse has become a talker."
2020 candidate Pete Buttigieg speaks French in message on Notre Dame - Business Insider,"Democratic presidential candidate Pete Buttigieg, who's multilingual, offered his condolences in French, following a massive fire at the historic Notre Dame ..."
Buttigieg officially announces presidential campaign,"South Bend, Indiana, Mayor Pete Buttigieg officially announces his presidential campaign."
Pete Buttigieg suggests national service program,Democratic presidential candidate Pete Buttigieg on Monday night advocated a form of national public *service* for all young adults as a way to create unity ...
Pete Buttigieg’s Focus: Storytelling First. Policy Details Later.,"In his writings as a student and young politician, he fixated on the kind of media narratives that have propelled his 2020 campaign."
Is Pete Buttigieg a Transformational Candidate?,One of the reasons I thought Donald Trump would win in 2016 was not just that he was focusing on the core issues roiling the middle classes (immigration and ...
Pete Buttigieg: How the presidential underdog revitalized South Bend,"South Bend mayor Pete Buttigieg, and his underdog campaign for the 2020 Democratic nomination for president, gets noticed quite a bit these days. He's fluent ..."
Buttigieg: 'I would stack up my experience against anybody',"South Bend Mayor Pete Buttigieg defended his lack of executive experience Sunday, arguing that voters should look at the “quality, as well as quantity."""
Pete Buttigieg’s plan to make governing great again,The most important debate in the Democratic primary is over how change happens.
"Which Way, Pete Buttigieg?",Can the heartland meritocrat be a traitor to his class?
Pete Buttigieg targeted in operation by right-wing provocateur Jacob Wohl,WASHINGTON — A young Michigan man claims he became an unwitting participant in a plot by right-wing provocateurs Jacob Wohl and Jack Burkman to ...
"In New Hampshire, many older Democrats see Pete Buttigieg's age as an asset","Concord, N.H. — It was, in some ways, an incongruous scene: Pete Buttigieg, the 37-year-old Democratic presidential hopeful running on a message of ..."
Pete Buttigieg is pro-Israel when Democrats are increasingly critical,"Pete Buttigieg may be a rising star in the 2020 Democratic field, but his strong pro-Israel views may put him at odds with the increasingly pro-Palestinian left flank ..."
The breakout star of Pete Buttigieg’s 2020 campaign? His husband Chasten,Chasten Buttigieg has gained a sizable following – and boosted his husband's campaign – with his candid social media posts about life on the trail.
Buttigieg pledges to 'do better' at building more diverse following,"Washington (CNN) 2020 Democratic presidential candidate Pete Buttigieg pledged on Tuesday to do more to reach out to African-American voters, laying out ..."
Inside Pete Buttigieg's plan to revitalize his city,"Mayor Pete Buttigieg pushed an aggressive plan to revitalize South Bend, Indiana, when he took charge in 2012. CNN's Vanessa Yurkevich has more."
Get to know 2020 candidate Pete Buttigieg in nine clips – video,"The 37-year-old mayor of South Bend, Indiana officially launched his run for the White House on Sunday - get to know this 2020 candidate in nine clips."
LGBTQ donors help Pete Buttigieg defy 2020 expectations,"Lesbian, gay, bisexual, transgender and queer donors have helped ""Mayor Pete"" raise more than $7 million in just over two months."
Pete Buttigieg’s Language Magic Is Textbook Polyglot Mythmaking,American culture is far from the first to glorify people who speak several languages.
A Look At How Pete Buttigieg Is Reaching Out To Voters,"Many Democrats are focused on winning back white, working-class voters. South Bend, Ind., Mayor Pete Buttigieg, an emerging 2020 candidate, has been ..."
New polls in Iowa and New Hampshire show Pete Buttigieg on the rise,WASHINGTON (CNN) Two new polls from the states that will be the first to weigh in on the Democratic field next year show former Vice President Joe Biden and ...
Mayor Pete Buttigieg officially enters 2020 presidential race,"South Bend Mayor Pete Buttigieg announced that he's officially running for president, topping off a week of heightened media attention."
Pete Buttigieg expected to formally announce 2020 presidential run,"Pete Buttigieg, the 37-year-old openly gay mayor of South Bend, Indiana, who is shaking up the Democratic presidential race with his potential plans to run, ..."
The 'weird parallels' between Vice President Mike Pence and presidential hopeful Pete Buttigieg,"While Vice President Mike Pence and presidential hopeful Pete Buttigieg are at odds on many issues, they also have many things in common."
Buttigieg explains controversy surrounding taped calls,"Mayor Pete Buttigieg explains why he asked Police Chief Darryl Boykins, who is black, to resign after a controversy surrounding secret phone recordings while ..."
"Buttigieg makes new effort to talk race, reach black voters","NEW YORK (AP) — From lunch with a civil rights leader in Harlem to meetings at a historically black university in South Carolina, Democratic presidential ..."
4 Marketing Lessons From 'Mayor Pete' Buttigieg,"Mayor Pete Buttigieg, the 37-year-old openly gay mayor of South Bend, Indiana with a hard-to-pronounce last name (according to his Twitter profile, ..."
