title,media
"In photos: Elizabeth Warren, former presidential candidate","US Sen. Elizabeth Warren dropped out of the presidential race on Thursday, March 5, a couple of days after Super Tuesday. Warren became a progressive star ..."
Elizabeth Warren Has the Plans,"She may not be at the top of the polls, but without question, Massachusetts Senator Elizabeth Warren is dominating the “ideas primary.” In the age of tweet and ..."
Elizabeth Warren says she won't get 'Hillary'd' in 2020,"Sen. Elizabeth Warren of Massachusetts has no intention of being ""Hillary'd"" in the 2020 Democratic presidential primary."
Elizabeth Warren was once a Republican. She shouldn’t hide it.,"When Sen. Elizabeth Warren (D-Mass.) discusses her biography, she talks movingly about how her family finances all but cratered when she was a teenager ..."
"Democratic presidential hopeful Elizabeth Warren releases 2018 tax returns showing $900,000 income","Sen. Elizabeth Warren, D-Mass., released her 2018 tax returns on Wednesday, revealing an income of nearly $1 million last year between her and her husband, ..."
Takeaways from Elizabeth Warren's CNN town hall,Elizabeth Warren showed in CNN's town hall Monday night how nimble and persuasive she can be as she wades deeper into policy specifics than other ...
"Here’s how much Elizabeth Warren works with Republicans, compared to other 2020 Democrats",WASHINGTON (AP) — Elizabeth Warren has a habit that she doesn't talk about a lot on the campaign trail: working with the GOP. The Massachusetts Democrat ...
‘Liz Was a Diehard Conservative’,"Elizabeth Warren doesn't like to talk about it, but for years she was a registered Republican. Why she left the GOP—and what it means for her campaign."
Why hasn’t Elizabeth Warren achieved liftoff?,Elizabeth Warren 2020 makes sense on paper. The Massachusetts senator is obviously a very smart person who thinks seriously about policy. She has ...
Elizabeth Warren Proposes Broad Plan to Protect Public Lands,"Senator Elizabeth Warren of Massachusetts unveiled a public lands proposal on Monday, thrusting land-use issues and the environment into the spotlight as ..."
Will Sen. Elizabeth Warren get 'Hillary'd' in 2020?,"During a CNN town hall, Democratic presidential candidate Sen. Elizabeth Warren (D-MA) details the lessons in sexism she learned during her successful 2012 ..."
Elizabeth Warren keeps offering detailed policy proposals. Why do so few Democrats seem to care?,"A steady stream of detailed, specific policy proposals; thoughtful responses to difficult questions; coherent explanations of positions on matters of national import: ..."
'I got a plan': Elizabeth Warren takes on racial inequality with her policy proposals,"Houston (CNN) At a national gathering of women of color this week, Sen. Elizabeth Warren was confronted by this question the moment she took the stage: ..."
Elizabeth Warren's Campaign Staffing And Spending,"Sen. Elizabeth Warren has built up a big staff for her presidential campaign, and she is already spending a lot of money on her bid for the White House."
Sen. Elizabeth Warren promises to roll back Trump energy policies on 1st day in office,"CHARLESTON, S.C. -- Massachusetts Sen. Elizabeth Warren thrust herself into the climate change debate this week, promising that if elected president, she'd ..."
"'We need big, systemic change': Democratic presidential candidate Elizabeth Warren rallies supporters in Salt Lake City","This is a “perilous time for our country,"" Democratic presidential candidate Elizabeth Warren told a crowd of more than a thousand as she began her speech in a ..."
Elizabeth Warren Calls for Impeachment Process Against Trump,"Senator Elizabeth Warren on Friday called for the Democratic-led House of Representatives to begin impeachment proceedings against President Trump, ..."
Can Elizabeth Warren Get Her Groove Back?,"It's hard to escape the feeling that Elizabeth Warren is underperforming. On Monday, the Massachusetts senator rolled out the sort of education plan that ..."
Sen. Elizabeth Warren unveils a bill to make it easier to jail executives for company abuses,"Warren's bill, called the Corporate Executive Accountability Act, is in part a response to consumer abuses at companies such as Wells Fargo and Equifax."
"Elizabeth Warren Had Charisma, and Then She Ran for President","Female candidates face a “double bind,” researchers say. When women are perceived as competent, they're less likely to be seen as inspiring."
Why not Warren?,"The most progressive wing of the Democratic Party is represented by two candidates: One is younger than President Trump, cheerful, doesn't have the “socialist” ..."
Elizabeth Warren's ideas blow rival 2020 Democrats away. Her public lands plan is no exception.,"Elizabeth Warren's ideas blow other 2020 Democrats away. Her public lands plan is no exception, which its bold plan to address climate change."
Why Hasn’t Elizabeth Warren Caught Fire in the Primaries?,"Intelligencer staffers Benjamin Hart, Irin Carmon, Sarah Jones, and Ed Kilgore discuss why Massachusetts Senator Elizabeth Warren's bold ideas haven't ..."
Sen. Elizabeth Warren to hold an event in Salt Lake City next week as part of her 2020 presidential campaign,"Reliably red Utah will receive its third visit from a Democratic 2020 presidential candidate next week: Massachusetts Sen. Elizabeth Warren. Warren, known for ..."
Elizabeth Warren and Joe Biden have a history. It’s complicated.,Sen. Elizabeth Warren and Joe Biden could find themselves sharing a Democratic presidential primary debate stage this summer. It wouldn't be the first time ...
Elizabeth Warren bets that slew of policy ideas will win over Trump-weary voters,"The government would pay to build more than 3 million homes and apartments, nearly eliminating a housing shortage for the poor. Uncle Sam would ..."
Elizabeth Warren Against the Filibuster,Eric Lach on the senator and Presidential candidate Elizabeth Warren announcing her support of ending the filibuster.
Elizabeth Warren’s Big-Donor Ploy Appears to Have Backfired,"Weeks after she made her presidential bid official, Elizabeth Warren made a radical announcement: she would not court or accept contributions from any ..."
Elizabeth Warren vs. Joe Biden has been a grudge match since 2005,The fight that defines Warren vs. Biden: A battle over a landmark bankruptcy bill brought her directly into conflict with a key Democratic rival for the White House.
Elizabeth Warren rolls out plan to reward hospitals that make childbirth safer for African-American women,Sen. Elizabeth Warren wants to drive down the maternal mortality rate among African-American women -- and she has a plan to get it done.
Are Dems ready for Elizabeth Warren’s angry populist message?,"No, this wasn't an introduction for Donald Trump, though it oddly imitated the populist fervor that fueled his political rise. “I've had enough of a celebration of ..."
Elizabeth Warren tells Charleston voters: 'My fight is your fight',"In her first visit to Charleston as a presidential candidate, Elizabeth Warren talked climate change and picked up an endorsement."
Elizabeth Warren lagging behind in Massachusetts poll,U.S. Sen. Elizabeth Warren ranks just third among presidential hopefuls in a new poll of Massachusetts Democratic primary voters. An Emerson College poll ...
"Elizabeth Warren, the Long-Distance Runner of the 2020 Race","Amid all the chatter about whether the old white dudes of 2020—Bernie Sanders, Donald Trump, and Wafflin' Joe Biden—are too long in the tooth to be running ..."
"Elizabeth Warren's Education Plan Isn't Perfect, But It's Still Pretty Great","Elizabeth Warren has a plan for higher education. It's not prefect, but it's the best plan out there so far."
