,doc_sentiments,documents,zone_sentiments
0,-2.7141552511415528,"['In photos', ' Elizabeth Warren', ' former presidential candidate', 'US Sen. Elizabeth Warren dropped out of the presidential race on Thursday', ' March 5', ' a couple of days after Super Tuesday. Warren became a progressive star ...']","[-1.0, 0, 0.5333333333333333, 0.2191780821917808, 0, -2.466666666666667]"
1,-0.14860681114551083,"['Elizabeth Warren Has the Plans', 'She may not be at the top of the polls', ' but without question', ' Massachusetts Senator Elizabeth Warren is dominating the “ideas primary.” In the age of tweet and ...']","[0, -0.23684210526315788, 0, 0.08823529411764706]"
2,0.042975206611570255,"[""Elizabeth Warren says she won't get 'Hillary'd' in 2020"", 'Sen. Elizabeth Warren of Massachusetts has no intention of being ""Hillary\'d"" in the 2020 Democratic presidential primary.']","[-0.16363636363636364, 0.2066115702479339]"
3,0.3624113475177305,"['Elizabeth Warren was once a Republican. She shouldn’t hide it.', 'When Sen. Elizabeth Warren (D-Mass.) discusses her biography', ' she talks movingly about how her family finances all but cratered when she was a teenager ...']","[0, 0.26666666666666666, 0.09574468085106383]"
4,-1.7685110932905639,"['Democratic presidential hopeful Elizabeth Warren releases 2018 tax returns showing $900', '000 income', 'Sen. Elizabeth Warren', ' D-Mass.', ' released her 2018 tax returns on Wednesday', ' revealing an income of nearly $1 million last year between her and her husband', ' ...']","[-0.9080459770114941, 0, 0, 0, -0.8604651162790697, 0, 0]"
5,-0.24161073825503357,"[""Takeaways from Elizabeth Warren's CNN town hall"", ""Elizabeth Warren showed in CNN's town hall Monday night how nimble and persuasive she can be as she wades deeper into policy specifics than other ...""]","[0, -0.24161073825503357]"
6,-0.8022432986916892,"['Here’s how much Elizabeth Warren works with Republicans', ' compared to other 2020 Democrats', ""WASHINGTON (AP) — Elizabeth Warren has a habit that she doesn't talk about a lot on the campaign trail"", ' working with the GOP. The Massachusetts Democrat ...']","[-0.7454545454545454, 0, 0.2450980392156863, -0.3018867924528302]"
7,0.15217391304347827,"['‘Liz Was a Diehard Conservative’', ""Elizabeth Warren doesn't like to talk about it"", ' but for years she was a registered Republican. Why she left the GOP—and what it means for her campaign.']","[0.5, -0.34782608695652173, 0]"
8,-0.04697986577181209,"['Why hasn’t Elizabeth Warren achieved liftoff?', 'Elizabeth Warren 2020 makes sense on paper. The Massachusetts senator is obviously a very smart person who thinks seriously about policy. She has ...']","[0, -0.04697986577181209]"
9,1.8067460317460318,"['Elizabeth Warren Proposes Broad Plan to Protect Public Lands', 'Senator Elizabeth Warren of Massachusetts unveiled a public lands proposal on Monday', ' thrusting land-use issues and the environment into the spotlight as ...']","[0.15, -0.10714285714285714, 1.7638888888888888]"
10,-1.1764705882352942,"[""Will Sen. Elizabeth Warren get 'Hillary'd' in 2020?"", 'During a CNN town hall', ' Democratic presidential candidate Sen. Elizabeth Warren (D-MA) details the lessons in sexism she learned during her successful 2012 ...']","[0, 0, -1.1764705882352942]"
11,-2.7144522144522147,"['Elizabeth Warren keeps offering detailed policy proposals. Why do so few Democrats seem to care?', 'A steady stream of detailed', ' specific policy proposals', ' thoughtful responses to difficult questions', ' coherent explanations of positions on matters of national import', ' ...']","[0.0, -1.3333333333333333, 0, -0.22727272727272754, -1.153846153846154, 0]"
12,2.1904761904761907,"[""'I got a plan'"", ' Elizabeth Warren takes on racial inequality with her policy proposals', 'Houston (CNN) At a national gathering of women of color this week', ' Sen. Elizabeth Warren was confronted by this question the moment she took the stage', ' ...']","[0, 1.4285714285714286, 0, 0.7619047619047619, 0]"
13,0.7207303974221267,"[""Elizabeth Warren's Campaign Staffing And Spending"", 'Sen. Elizabeth Warren has built up a big staff for her presidential campaign', ' and she is already spending a lot of money on her bid for the White House.']","[0.5102040816326531, 0.21052631578947367, 2.7755575615628914e-17]"
14,-2.5495090439276487,"['Sen. Elizabeth Warren promises to roll back Trump energy policies on 1st day in office', 'CHARLESTON', ' S.C. -- Massachusetts Sen. Elizabeth Warren thrust herself into the climate change debate this week', ' promising that if elected president', "" she'd ...""]","[-1.3139534883720931, 0, 0.32, -1.5555555555555556, 0]"
15,2.3597308670114847,"[""'We need big"", "" systemic change'"", ' Democratic presidential candidate Elizabeth Warren rallies supporters in Salt Lake City', 'This is a “perilous time for our country', '"" Democratic presidential candidate Elizabeth Warren told a crowd of more than a thousand as she began her speech in a ...']","[0, 0.9411764705882353, -1.011363636363636, 2.225, 0.20491803278688525]"
16,-0.5178082191780823,"['Elizabeth Warren Calls for Impeachment Process Against Trump', 'Senator Elizabeth Warren on Friday called for the Democratic-led House of Representatives to begin impeachment proceedings against President Trump', ' ...']","[-1.1, 0.5821917808219178, 0]"
17,0.0694834131044727,"['Can Elizabeth Warren Get Her Groove Back?', ""It's hard to escape the feeling that Elizabeth Warren is underperforming. On Monday"", ' the Massachusetts senator rolled out the sort of education plan that ...']","[0, 0.1927710843373494, -0.1232876712328767]"
18,1.3218740629685155,"['Sen. Elizabeth Warren unveils a bill to make it easier to jail executives for company abuses', ""Warren's bill"", ' called the Corporate Executive Accountability Act', ' is in part a response to consumer abuses at companies such as Wells Fargo and Equifax.']","[0.46739130434782605, 0, -0.18, 1.0344827586206895]"
19,-1.639426523297491,"['Elizabeth Warren Had Charisma', ' and Then She Ran for President', 'Female candidates face a “double bind', '” researchers say. When women are perceived as competent', "" they're less likely to be seen as inspiring.""]","[0, 0.5161290322580645, 0, 0, -2.1555555555555554]"
20,-11.371273712737128,"['Why not Warren?', 'The most progressive wing of the Democratic Party is represented by two candidates', ' One is younger than President Trump', ' cheerful', "" doesn't have the “socialist” ...""]","[0, -1.9268292682926829, 0.4444444444444444, -9.88888888888889, 0]"
21,0.9422172452407616,"[""Elizabeth Warren's ideas blow rival 2020 Democrats away. Her public lands plan is no exception."", ""Elizabeth Warren's ideas blow other 2020 Democrats away. Her public lands plan is no exception"", ' which its bold plan to address climate change.']","[0.43157894736842106, 0.1702127659574468, 0.3404255319148936]"
22,0.8995083863504916,"['Why Hasn’t Elizabeth Warren Caught Fire in the Primaries?', 'Intelligencer staffers Benjamin Hart', ' Irin Carmon', ' Sarah Jones', "" and Ed Kilgore discuss why Massachusetts Senator Elizabeth Warren's bold ideas haven't ...""]","[0.47368421052631576, 0.25, 0, 0, 0.17582417582417584]"
23,0.4531590413943355,"['Sen. Elizabeth Warren to hold an event in Salt Lake City next week as part of her 2020 presidential campaign', 'Reliably red Utah will receive its third visit from a Democratic 2020 presidential candidate next week', ' Massachusetts Sen. Elizabeth Warren. Warren', ' known for ...']","[0.2962962962962963, 0.1568627450980392, 0, 0]"
24,2.047857704402516,"['Elizabeth Warren and Joe Biden have a history. It’s complicated.', ""Sen. Elizabeth Warren and Joe Biden could find themselves sharing a Democratic presidential primary debate stage this summer. It wouldn't be the first time ...""]","[1.890625, 0.15723270440251574]"
25,1.4361111111111111,"['Elizabeth Warren bets that slew of policy ideas will win over Trump-weary voters', 'The government would pay to build more than 3 million homes and apartments', ' nearly eliminating a housing shortage for the poor. Uncle Sam would ...']","[0.2, 0, 1.2361111111111112]"
26,-0.5726495726495726,"['Elizabeth Warren Against the Filibuster', 'Eric Lach on the senator and Presidential candidate Elizabeth Warren announcing her support of ending the filibuster.']","[-0.6410256410256411, 0.06837606837606841]"
27,-0.5848845277034393,"['Elizabeth Warren’s Big-Donor Ploy Appears to Have Backfired', 'Weeks after she made her presidential bid official', ' Elizabeth Warren made a radical announcement', ' she would not court or accept contributions from any ...']","[0.15254237288135594, 0.5, 1.2888888888888888, -2.526315789473684]"
28,2.050051282051282,"['Elizabeth Warren vs. Joe Biden has been a grudge match since 2005', 'The fight that defines Warren vs. Biden', ' A battle over a landmark bankruptcy bill brought her directly into conflict with a key Democratic rival for the White House.']","[0.6923076923076923, -0.41025641025641024, 1.7680000000000002]"
29,-0.49523809523809526,"['Elizabeth Warren rolls out plan to reward hospitals that make childbirth safer for African-American women', 'Sen. Elizabeth Warren wants to drive down the maternal mortality rate among African-American women -- and she has a plan to get it done.']","[-0.49523809523809526, 0]"
30,-0.8020283412058906,"['Are Dems ready for Elizabeth Warren’s angry populist message?', 'No', "" this wasn't an introduction for Donald Trump"", "" though it oddly imitated the populist fervor that fueled his political rise. “I've had enough of a celebration of ...""]","[0.4098360655737705, 0, 0, -1.2118644067796611]"
31,-1.965217391304348,"['Elizabeth Warren tells Charleston voters', "" 'My fight is your fight'"", 'In her first visit to Charleston as a presidential candidate', ' Elizabeth Warren talked climate change and picked up an endorsement.']","[0, 0, 0.26666666666666666, -2.2318840579710146]"
32,0.9414733806032929,"['Elizabeth Warren lagging behind in Massachusetts poll', 'U.S. Sen. Elizabeth Warren ranks just third among presidential hopefuls in a new poll of Massachusetts Democratic primary voters. An Emerson College poll ...']","[1.0943396226415094, -0.15286624203821653]"
33,0.7532467532467533,"['Elizabeth Warren', ' the Long-Distance Runner of the 2020 Race', 'Amid all the chatter about whether the old white dudes of 2020—Bernie Sanders', ' Donald Trump', "" and Wafflin' Joe Biden—are too long in the tooth to be running ...""]","[0, 0, 0.7532467532467533, 0, 0]"
34,-0.3902439024390244,"[""Elizabeth Warren's Education Plan Isn't Perfect"", "" But It's Still Pretty Great"", ""Elizabeth Warren has a plan for higher education. It's not prefect"", "" but it's the best plan out there so far.""]","[0, 0, 0, -0.3902439024390244]"
35,-0.3424657534246575,"['Elizabeth Warren Tells Amazon to Get Bent', 'A week after unveiling legislation that would make it easier to send C.E.O.s to prison', ' Elizabeth Warren rolled out a proposal on Thursday likely to send an ...']","[0, 0.0, -0.3424657534246575]"
36,-0.5006413780465457,"['Elizabeth Warren’s best move is to drop out of race', 'Rather than campaigning in Mississippi', ' Warren would be better advised to pay attention to Massachusetts. She was not elected to run for president', ' but to serve ...']","[-0.3137254901960784, 0, -0.18691588785046728, 0]"
37,-1.103748910200523,"['Elizabeth Warren', ' Impeachment not about politics', 'During a CNN town hall at St. Anselm College', ' 2020 Democratic party presidential hopeful Sen. Elizabeth Warren lays out why calling for President Donald ...']","[0, -0.8064516129032258, 0, -0.29729729729729726]"
38,-0.5490654205607477,"['Elizabeth Warren Wants to Make It Easier to Prosecute Executives', 'The key question is whether the legislation she has proposed is the best means to police corporate leaders.']","[-0.25, -0.29906542056074764]"
